фильм
кино
картин
лент
экранизаци
сюжет
истори
сценари
повествовани
интриг
актер
актрис
игр
роль
каст
персонаж
геро
антагонист
злоде
характер
режиссер
постановк
создател
автор
продюсер
оператор
кадр
картинк
визуал
съемк
монтаж
спецэффект
график
декораци
костюм
музык
саундтрек
звук
композитор
мелоди
атмосфер
настроени
эмоци
впечатлени
драм
финал
концовк
развязк
начал
завязк
диалог
монолог
юмор
шутк
ирони
смысл
иде
посыл
морал
концепци
жанр
динамик
темп
ритм
хронометраж
